IDTDOC,IDEPAIS,IDESTGEN,EDAD,IDCODEMUNI,IDCODEDEPTO,IDCOLCALEN,IDCOLGEN,IDCOLNATU,IDCOLBILIN,IDCOLCARAC,IDDESING,IDDESMATH,IDPUESTO
1,1,1,48,23001.0,23.0,3,1,2,0.0,1,3,2,0
3,1,1,25,23001.0,23.0,3,1,2,0.0,1,3,3,4
1,1,2,18,52678.0,52.0,1,1,1,0.0,1,3,4,3
1,1,2,30,52678.0,52.0,1,1,1,0.0,1,3,4,3
1,1,1,25,52565.0,52.0,1,1,1,0.0,1,3,2,0
1,1,1,19,52678.0,52.0,1,1,1,0.0,1,3,4,4
1,1,1,32,52001.0,52.0,1,1,1,0.0,1,4,5,1
1,1,2,20,52678.0,52.0,1,1,1,0.0,1,4,4,1
1,1,1,18,52001.0,52.0,1,1,1,0.0,1,3,3,3
1,1,1,25,52001.0,52.0,1,1,1,0.0,1,3,3,0
1,1,1,26,52001.0,52.0,1,1,1,0.0,1,2,7,1
1,1,1,22,52001.0,52.0,1,1,1,0.0,1,3,2,0
1,1,1,20,52678.0,52.0,1,1,1,0.0,1,3,3,0
1,1,2,24,52678.0,52.0,1,1,1,0.0,1,3,3,4
1,1,1,18,52678.0,52.0,1,1,1,0.0,1,4,6,1
1,1,2,18,52001.0,52.0,1,1,1,0.0,1,3,3,0
1,1,2,19,52678.0,52.0,1,1,1,0.0,1,3,4,3
1,1,2,19,52678.0,52.0,1,1,1,0.0,1,3,4,2
1,1,2,20,52678.0,52.0,1,1,1,0.0,1,4,3,2
1,1,2,24,52678.0,52.0,1,1,1,0.0,1,3,3,0
1,1,1,43,52001.0,52.0,1,1,1,0.0,1,3,3,3
1,1,2,21,52001.0,52.0,1,1,1,0.0,1,2,2,0
1,1,2,32,52001.0,52.0,1,1,1,0.0,1,3,3,3
1,1,2,19,52678.0,52.0,1,1,1,0.0,1,5,3,0
1,1,1,22,52001.0,52.0,1,1,1,0.0,1,4,3,2
1,1,1,20,52678.0,52.0,1,1,1,0.0,1,2,2,0
1,1,1,23,52678.0,52.0,1,1,1,0.0,1,3,3,3
1,1,1,24,52678.0,52.0,1,1,1,0.0,1,2,7,2
1,1,1,20,52678.0,52.0,1,1,1,0.0,1,3,4,3
1,1,1,20,52678.0,52.0,1,1,1,0.0,1,3,4,0
1,1,2,38,52678.0,52.0,1,1,1,0.0,1,5,5,1
3,1,2,18,52678.0,52.0,1,1,1,0.0,1,2,7,3
1,1,1,21,52678.0,52.0,1,1,1,0.0,1,3,2,0
3,1,2,18,52678.0,52.0,1,1,1,0.0,1,3,7,1
2,1,2,18,52678.0,52.0,1,1,1,0.0,1,3,3,4
1,1,1,21,52678.0,52.0,1,1,1,0.0,1,4,3,0
1,1,2,46,86885.0,86.0,1,1,1,0.0,1,3,3,0
1,1,1,29,52678.0,52.0,1,1,1,0.0,1,3,3,0
1,1,1,18,52001.0,52.0,1,1,1,0.0,1,4,3,2
1,1,2,19,52001.0,52.0,1,1,1,0.0,1,3,3,4
1,1,1,18,52678.0,52.0,1,1,1,0.0,1,2,3,5
1,1,2,19,52678.0,52.0,1,1,1,0.0,1,3,3,4
1,1,1,18,52678.0,52.0,1,1,1,0.0,1,3,3,5
1,1,2,18,5001.0,5.0,1,1,1,0.0,3,3,3,0
1,1,1,18,5001.0,5.0,1,1,1,0.0,1,3,3,2
1,1,2,23,41001.0,41.0,1,1,1,0.0,1,3,3,5
1,1,1,19,86219.0,86.0,1,1,1,0.0,1,3,4,2
1,1,1,19,86760.0,86.0,1,1,1,0.0,1,3,5,1
1,1,2,19,86749.0,86.0,1,1,1,0.0,1,4,4,2
1,1,2,19,52678.0,52.0,3,1,1,0.0,1,3,3,6
1,1,2,53,52678.0,52.0,3,1,1,0.0,1,3,3,0
1,1,2,24,52678.0,52.0,3,1,1,0.0,1,3,4,2
1,1,1,48,68307.0,68.0,1,1,1,0.0,4,3,3,0
1,1,1,26,5001.0,5.0,1,1,1,0.0,4,3,4,0
1,1,1,19,5001.0,5.0,1,2,2,0.0,1,5,3,1
1,1,1,18,73001.0,73.0,1,2,2,0.0,1,3,4,2
1,1,1,21,73001.0,73.0,1,1,2,0.0,2,5,4,2
1,1,1,18,73001.0,73.0,1,1,2,0.0,2,4,3,3
1,1,2,18,73001.0,73.0,1,1,2,0.0,2,3,5,2
1,1,1,18,52001.0,52.0,2,1,2,0.0,1,3,4,2
1,1,1,36,52001.0,52.0,2,1,2,0.0,1,3,3,3
1,1,1,20,52001.0,52.0,2,1,2,0.0,1,3,3,2
1,1,1,22,76122.0,76.0,2,1,2,0.0,1,3,3,0
1,1,2,20,52001.0,52.0,2,1,2,0.0,1,4,3,3
1,1,1,39,27077.0,27.0,1,1,1,0.0,4,3,2,0
1,1,2,53,76109.0,76.0,1,1,1,0.0,4,3,3,5
1,1,2,32,76001.0,76.0,1,1,1,0.0,4,3,3,0
1,1,2,19,76834.0,76.0,1,1,2,0.0,1,4,3,4
1,1,2,21,76834.0,76.0,1,1,2,0.0,1,3,3,0
1,1,2,33,76834.0,76.0,1,1,2,0.0,1,3,4,2
1,1,2,21,76834.0,76.0,1,1,2,0.0,1,5,5,1
1,1,2,18,NOID,NOID,1,1,2,0.0,1,3,4,3
1,1,2,18,76834.0,76.0,1,1,2,0.0,1,3,4,5
1,1,1,22,11001.0,11.0,1,1,1,0.0,2,4,3,3
1,1,2,20,15676.0,15.0,1,1,1,0.0,2,3,4,3
1,1,2,20,25126.0,25.0,3,1,2,0.0,1,4,3,4
1,1,2,44,25430.0,25.0,3,1,2,0.0,1,3,3,5
1,1,2,29,15507.0,15.0,3,1,1,0.0,1,3,3,0
1,1,1,21,5001.0,5.0,1,1,1,0.0,1,3,3,6
3,1,2,18,5001.0,5.0,1,1,1,0.0,1,3,3,5
1,1,1,18,5001.0,5.0,1,1,1,0.0,1,3,3,0
1,1,1,22,11001.0,11.0,1,1,1,0.0,2,4,4,1
1,1,2,30,41676.0,41.0,1,1,1,0.0,2,4,5,1
1,1,1,19,15516.0,15.0,1,1,1,0.0,1,3,4,4
1,1,1,21,63001.0,63.0,1,1,1,0.0,1,3,4,2
1,1,1,21,15516.0,15.0,1,1,1,0.0,1,3,4,3
